SL_No.,Clothing_ID,Age,Review,Rating,Recommendation_Indicator,Positive_Feedback_Count,Department_Name
3762,1078,30,Pretty and versatile,5,1,0,Dresses
3763,1078,33,Don't miss it!,5,1,1,Dresses
3764,1110,49,Looks better on me!,5,1,4,Dresses
3765,820,26,Great top,5,1,0,Tops
3766,830,55,Cute top,4,1,0,Tops
3767,1187,35,Cheaply made but flattering cut,3,1,5,Tops
3768,829,65,Great top,5,1,4,Tops
3769,820,35,Super cute!,5,1,0,Tops
3770,829,36,Just ok,2,0,0,Tops
3771,1078,35,Pretty fabric,5,1,0,Dresses
3772,820,29,Soft and fun,5,1,0,Tops
3773,820,34,Odd cut,2,0,0,Tops
3774,820,46,Love this shirt!,5,1,0,Tops
3775,829,51,Not for me,3,0,1,Tops
3776,820,33,The perfect button-down!,5,1,0,Tops
3777,831,30,Beautiful - the first time you wear it.,2,0,1,Tops
3778,820,59,"So soft, so versatile",5,1,0,Tops
3779,829,67,Must try on to appreciate.,5,1,2,Tops
3780,1078,34,Just as pictured,5,1,0,Dresses
3781,829,45,"Great fall top, may need to size down",5,1,1,Tops
3782,820,32,Beautiful softness,4,1,14,Tops
3783,820,59,Light draping style,5,1,3,Tops
3784,820,49,Love it!,5,1,0,Tops
3785,820,40,Great blouse,4,1,0,Tops
3786,820,39,Really comfy and can be worn almost year round,5,1,58,Tops
3787,831,26,Simple yet charming,3,1,2,Tops
3788,1187,34,"Cute...but not ""amazing""",3,1,2,Tops
3789,820,44,Returned,1,0,0,Tops
3790,820,48,Super-delicate fabric,2,0,1,Tops
3791,820,39,Beautiful blouse,4,1,0,Tops
3792,820,34,Cute casual shirt,5,1,0,Tops
3793,820,53,Shrunk after first wash,3,1,0,Tops
3794,820,48,Good shirt,5,1,0,Tops
3795,801,44,Sleek and unique but not sure . . .,4,1,0,Intimate
3796,820,32,My new favorite shirt,5,1,0,Tops
3797,820,36,Shrunk,1,0,0,Tops
3798,820,58,Versatile,5,1,0,Tops
3799,820,29,Unique soft and comfy fall top,5,1,1,Tops
3800,820,43,Bainbridge!,5,1,0,Tops
3801,820,35,Perfect for work,5,1,0,Tops
3802,1110,39,Tts to large,5,1,0,Dresses
3803,829,58,Love it,5,1,3,Tops
3804,820,32,So much fabric...,3,1,1,Tops
3805,1078,46,Bretin dress,4,1,1,Dresses
3806,820,44,Cute and comfortable,5,1,0,Tops
3807,1078,36,Dress,3,0,0,Dresses
3808,495,36,"Cute shorts, but runs big",4,1,8,Bottoms
3809,820,35,Lovely and fun to wear,5,1,0,Tops
3810,863,62,Perfect!,5,1,0,Tops
3811,1110,52,Classic and versitle,5,1,0,Dresses
3812,1078,64,Lovely dress!,4,1,0,Dresses
3813,872,39,Always receive a complement when i wear this,4,1,0,Tops
3814,1094,45,Unwearable art,3,0,3,Dresses
3815,872,48,Colorful vibrant top,4,1,0,Tops
3816,872,38,Swingy,4,1,25,Tops
3817,1014,56,Lovely multi-season skirt,5,1,1,Bottoms
3818,1094,38,Fantastic jumpsuit,5,1,1,Dresses
3819,1082,31,Has no shape,3,0,1,Dresses
3820,570,56,Fun fabric,3,1,4,Trend
3821,1094,32,You need this!,5,1,1,Dresses
3822,1059,74,Great flow of movement,5,1,1,Bottoms
3823,840,42,Odd fit,2,0,3,Tops
3824,1094,39,Design flaw but awesome,5,1,2,Dresses
3825,782,37,Cute top,4,1,4,Intimate
3826,872,61,Summery,5,1,2,Tops
3827,1006,57,Wanted to love this skirt,2,0,0,Bottoms
3828,1094,39,Takes 20 minutes to put on,2,0,2,Dresses
3829,872,34,Love it!!,5,1,0,Tops
3830,1014,55,Nice fall florida skirt,5,1,1,Bottoms
3831,872,48,Super cute!,5,1,9,Tops
3832,1082,41,Great summer dress,5,1,0,Dresses
3833,963,33,"Good idea, looks so cheap",2,0,1,Jackets
3834,872,23,Lovely top,5,1,0,Tops
3835,872,32,Adorable must have,5,1,27,Tops
3836,1094,67,Major design error,2,0,1,Dresses
3837,872,53,Perfect for summer,4,1,0,Tops
3838,840,60,So cute for summer!,5,1,16,Tops
3839,782,60,"Shoulders are off, bad pleat placement",3,0,2,Intimate
3840,872,56,Cute & unique tank,5,1,2,Tops
3841,1082,44,Not for me...,3,1,2,Dresses
3842,872,67,Wearable art,4,1,3,Tops
3843,1094,36,Jumpsuit revelations,5,1,17,Dresses
3844,872,40,"Runs quite large, but beautiful",3,1,1,Tops
3845,829,39,Another see through ivory blouse,3,0,14,Tops
3846,872,43,Lovely summer top!,5,1,0,Tops
3847,872,42,A bit big and sloppy,2,0,2,Tops
3848,1094,56,Poor desgn,1,0,0,Dresses
3849,872,26,Versatile tank!,5,1,0,Tops
3850,1059,44,Great spring/summer pants!,5,1,2,Bottoms
3851,963,31,Fav kimono ever!,5,1,1,Jackets
3852,872,51,Versatile top,4,1,2,Tops
3853,872,39,"Ridiculously big, unflattering over bust",1,0,1,Tops
3854,963,68,"Very beautiful, very versatile and very flattering",5,1,0,Jackets
3855,872,33,Great comfortable shirt,4,1,0,Tops
3856,872,60,Comfortable nicer t-shirt,5,1,1,Tops
3857,782,23,"Beautiful top, shorter than expected",4,1,0,Intimate
3858,872,44,Good for skinny minis,3,1,1,Tops
3859,840,48,"Thin, shapeless",2,0,0,Tops
3860,963,48,Light weight but super comfortable,5,1,6,Jackets
3861,829,24,Great top,4,1,1,Tops
3862,1059,48,Love these,5,1,1,Bottoms
3863,1094,48,Stylish jumpsuit!,4,1,15,Dresses
3864,829,34,The reviews tell the truth,4,1,1,Tops
3865,873,66,Lovely knit texture! terrific styling! a winner!,5,1,0,Tops
3866,871,57,Pretty colors,5,1,0,Tops
3867,871,62,Great versatile tank!,4,1,1,Tops
3868,1048,79,Sexy and flows,5,1,8,Bottoms
3869,1095,48,Fit was off,1,0,5,Dresses
3870,1081,62,Leaves much to be desired...,3,0,2,Dresses
3871,1048,41,Unfortunate,1,0,0,Bottoms
3872,1027,41,J brand cropped rail jeans,3,0,2,Bottoms
3873,871,33,Beautiful lace tank,5,1,0,Tops
3874,1048,42,Oh la la,5,1,1,Bottoms
3875,1078,48,Surprise,5,1,2,Dresses
3876,1048,47,A very nice surprise,5,1,5,Bottoms
3877,1048,27,Flattering + chic + comfortable,5,1,0,Bottoms
3878,871,43,Gorgeous,5,1,2,Tops
3879,829,58,Adorable,5,1,1,Tops
3880,871,38,Beautiful tank,4,1,0,Tops
3881,878,31,Super soft,5,1,0,Tops
3882,1048,49,Love!,5,1,0,Bottoms
3883,878,28,Cream / black stripe,4,1,3,Tops
3884,1048,41,Can't wait to wear it,5,1,1,Bottoms
3885,871,63,Airy and feminine,4,1,18,Tops
3886,878,26,The everygirl basic,5,1,14,Tops
3887,871,36,Pretty colors,5,1,1,Tops
3888,871,35,Prettier in person,5,1,0,Tops
3889,878,32,Man i love this shirt!,5,1,3,Tops
3890,871,33,Great pops of color for the end of summer,4,1,1,Tops
3891,1072,39,Fuzzy pink perfection,5,1,0,Dresses
3892,1048,45,Another confusing review,5,1,1,Bottoms
3893,1078,51,"Nice dress, not beautiful; well-made, comfortable",4,1,2,Dresses
3894,871,65,No lining in this!,4,1,18,Tops
3895,836,40,Beautiful top with odd fit,3,0,0,Tops
3896,1078,53,My new favorite,5,1,0,Dresses
3897,1027,33,Not good for big hips,4,1,4,Bottoms
3898,836,33,Fit issues for a curvy gal,3,1,16,Tops
3899,954,33,Delicate,3,1,0,Tops
3900,836,29,Unflattering,2,0,4,Tops
3901,836,52,Beautiful top!,5,1,1,Tops
3902,1081,31,Sexy!,4,1,3,Dresses
3903,831,47,Stunningly beautiful,5,1,3,Tops
3904,836,53,Too big....,3,0,0,Tops
3905,1081,48,Probably best on hourglass bodies,4,1,1,Dresses
3906,836,60,"Love, love, love it!",5,1,2,Tops
3907,836,39,Gorgeous!,5,1,3,Tops
3908,836,60,"Lovely, but odd fit",4,1,13,Tops
3909,836,37,Super cute top,4,1,0,Tops
3910,836,53,This top is the bomb!,5,1,0,Tops
3911,832,30,Stain on shirt,1,0,0,Tops
3912,836,23,Busty ladies size up,4,1,0,Tops
3913,836,61,A piece of art,5,1,3,Tops
3914,836,42,Not right for every body type.,3,0,3,Tops
3915,836,38,Loving it,5,1,1,Tops
3916,836,34,Like wearing a beautiful painting,4,1,78,Tops
3917,826,62,Gorgeous,5,1,0,Tops
3918,836,46,Shirt is beautifully made,4,1,1,Tops
3919,836,49,Pretty tank,4,1,0,Tops
3920,1027,42,Runs two sizes small,5,1,3,Bottoms
3921,836,38,Triangles aren't my shape,2,0,0,Tops
3922,1080,31,Wonderful dress that can be dressed up or down!,5,1,0,Dresses
3923,381,31,Lovely one piece,4,1,1,Intimate
3924,381,38,The 1 piece,5,1,3,Intimate
3925,1080,29,Cute,4,1,1,Dresses
3926,381,46,Beautiful and flattering,4,1,8,Intimate
3927,933,62,"Great quality, but odd fit",3,0,1,Tops
3928,1080,62,Keeper!,5,1,6,Dresses
3929,1080,30,Great maxi,4,1,6,Dresses
3930,381,29,Flattering suit!,5,1,2,Intimate
3931,999,33,Just what i was looking for!,5,1,2,Bottoms
3932,1080,39,Comfy whimsical,5,1,9,Dresses
3933,1080,41,Absolutely amazing,5,1,1,Dresses
3934,1100,28,Very pretty dress but runs big,4,1,1,Dresses
3935,381,30,Not for the busty babes!,2,0,4,Intimate
3936,1080,38,Love!,5,1,0,Dresses
3937,1080,44,Lovely!,5,1,0,Dresses
3938,273,39,Terrible buy,1,0,10,Intimate
3939,1080,24,Great petite maxi,5,1,2,Dresses
3940,1080,38,Cute maxi,4,1,0,Dresses
3941,1100,32,Love!,5,1,4,Dresses
3942,1076,35,Scratchy and boxy,2,0,3,Dresses
3943,1080,32,"Lovely dress, fits well",5,1,1,Dresses
3944,1080,33,Fantastic buy!,5,1,0,Dresses
3945,862,54,Oddly fitting top,3,0,11,Tops
3946,1080,44,Go to dress,5,1,0,Dresses
3947,1080,40,"Cute but missing some ""oomph""",4,1,0,Dresses
3948,1080,27,Beautiful and comfortable,5,1,2,Dresses
3949,1080,37,Great maxi!,5,1,0,Dresses
3950,1080,33,Lovely,5,1,17,Dresses
3951,1080,35,Awesome dress!,5,1,4,Dresses
3952,1080,44,Perfect maxi dress,5,1,2,Dresses
3953,1080,45,A perfect dress,5,1,0,Dresses
3954,1100,38,Much lower top,3,0,2,Dresses
3955,999,59,Only one problem- length,3,1,0,Bottoms
3956,1080,35,Even more beautiful in person!,5,1,0,Dresses
3957,1080,53,Beautiful and flattering,5,1,0,Dresses
3958,1028,45,Great jeans!,5,1,0,Bottoms
3959,381,28,Lovely little number,5,1,7,Intimate
3960,1080,40,Love this dress!,5,1,3,Dresses
3961,999,53,A basic for my closet,5,1,0,Bottoms
3962,1100,36,Pretty dress with problems,2,0,0,Dresses
3963,1080,39,I look taller!,5,1,0,Dresses
3964,1080,40,"Beautiful, flowy summer dress",4,1,10,Dresses
3965,381,46,Ruffled halter maillot,5,1,1,Intimate
3966,999,36,Great maxi,4,1,2,Bottoms
3967,1080,22,Beautiful classic dress!,5,1,0,Dresses
3968,1080,39,Beautiful!!,5,1,0,Dresses
3969,1080,47,Beautiful dress!,5,1,2,Dresses
3970,381,59,Breastfeeding friendly,5,1,7,Intimate
3971,1080,61,Perfect dress,5,1,6,Dresses
3972,381,30,Flattering and subtle,5,1,0,Intimate
3973,1059,52,Classy with a little swagger thrown in,5,1,0,Bottoms
3974,1080,34,Perfect cut,5,1,38,Dresses
3975,1080,43,Playful and easy to wear,5,1,1,Dresses
3976,940,35,"Yay, a long one!",5,1,12,Tops
3977,1024,37,Practically perfect,5,1,5,Bottoms
3978,829,26,Versatile !,5,1,0,Tops
3979,829,25,Quirky staple,5,1,1,Tops
3980,829,28,Short and wide,3,1,0,Tops
3981,829,42,Too short :(,3,0,0,Tops
3982,1145,46,Perfect for a tent,1,0,2,Trend
3983,829,23,Adorable,5,1,1,Tops
3984,829,62,Weird maeve sizing/fit,3,1,2,Tops
3985,829,29,Excellent purchase,5,1,0,Tops
3986,829,40,Great prints,4,1,0,Tops
3987,829,39,Beautiful top,4,1,3,Tops
3988,829,39,"Love it, typical nice comfy shirt",5,1,0,Tops
3989,940,33,More beautiful in person,5,1,3,Tops
3990,829,56,My winter wonderland,5,1,0,Tops
3991,829,46,"Size 16 cut inconsistently, too small",1,0,3,Tops
3992,829,47,Adorable cat pattern but strange fit,4,1,0,Tops
3993,1094,42,Lovely but runs very large!,5,1,0,Dresses
3994,829,29,Great top,5,1,1,Tops
3995,1145,35,Huge,2,0,2,Trend
3996,1024,44,Awesome jumpsuit! many compliments!,5,1,2,Bottoms
3997,829,54,Great gift,4,1,3,Tops
3998,1024,38,Sooooo cute,5,1,1,Bottoms
3999,862,42,A little incongruous,3,0,0,Tops
4000,829,32,Cat lovers dream blouse,5,1,0,Tops
4001,829,28,Short!,2,0,0,Tops
4002,829,42,Cute but short,4,1,0,Tops
4003,829,60,Conversationalist buttondown,3,0,0,Tops
4004,306,48,"So cute, petite fits great",5,1,0,Bottoms
4005,829,37,"Adorable, fun blouse",5,1,2,Tops
4006,1110,45,Loved the idea but ...,4,1,2,Dresses
4007,829,49,"Cute top, but uneven fit.",4,1,1,Tops
4008,829,38,Perfect every day top for work or play,5,1,0,Tops
4009,829,29,Fun blouses with cute patterns,4,1,0,Tops
4010,940,55,Nice cardigan,4,1,2,Tops
4011,327,66,Not for d cup,4,1,8,Intimate
4012,940,39,Love it!!!,5,1,2,Tops
4013,327,36,Gorgeous prints! not a great fit for everyone.,3,0,3,Intimate
4014,829,33,No problems w fit.,5,1,2,Tops
4015,829,36,Best of maeve,4,1,1,Tops
4016,1075,45,Okay...,3,1,0,Dresses
4017,940,60,Classic sweater,5,1,1,Tops
4018,829,60,Memories,5,1,6,Tops
4019,829,35,Love maeve generally,3,0,5,Tops
4020,829,57,Its alright,2,0,1,Tops
4021,829,33,Baggy,4,1,1,Tops
4022,825,38,Really interesting blouse; very happy w/ purchase,5,1,0,Tops
4023,1024,52,Stylish  and fun,3,1,4,Bottoms
4024,940,63,Like wearing a hug,5,1,1,Tops
4025,538,50,Very soft,5,1,1,Intimate
4026,306,33,"Cheap, thin fabric. too bad.",1,0,0,Bottoms
4027,829,45,Lots of room!,3,0,0,Tops
4028,829,42,Cute shirt!,5,1,0,Tops
4029,829,36,Weird fit,3,1,14,Tops
4030,829,38,"Cute, quirky prints and comfortable!",5,1,1,Tops
4031,1024,62,Favorite summer piece!,5,1,2,Bottoms
4032,829,60,Thumbs up for the downhill skier blouse,5,1,0,Tops
4033,829,52,"Very baggy, but adorable fabric pattern",2,0,0,Tops
4034,1110,35,So close,4,1,3,Dresses
4035,829,68,Best thing i've bought myself in a long time!,5,1,0,Tops
4036,829,28,Ski jumpers,4,1,0,Tops
4037,829,43,Fun at work,5,1,0,Tops
4038,829,39,Not cut like a traditional button down,3,0,1,Tops
4039,327,37,Not good for girls with a big chest,2,0,14,Intimate
4040,829,61,Conversationalist button-down with cats,5,1,2,Tops
4041,829,26,Nice shirt,4,1,0,Tops
4042,1083,31,Cute fun dress,4,1,0,Dresses
4043,834,45,So cute!,5,1,14,Tops
4044,823,43,Awesome!,5,1,9,Tops
4045,834,28,So silky soft and lightweight,5,1,1,Tops
4046,823,45,Surprisingly beautiful,4,1,0,Tops
4047,823,33,Beautiful top,4,1,0,Tops
4048,834,40,"Very nice, just as pictured",5,1,0,Tops
4049,826,36,Love love,5,1,0,Tops
4050,823,42,Sparkly fun,4,1,0,Tops
4051,823,35,Love this top,4,1,0,Tops
4052,1086,62,Exactly as pictured,4,1,2,Dresses
4053,463,62,Cuteandcomfy,5,1,0,Intimate
4054,1036,50,Why did you discontinue these?,5,1,1,Bottoms
4055,872,33,Pretty,5,1,2,Tops
4056,463,67,Great aqua print,5,1,2,Intimate
4057,984,66,Perfect white jean jacket,5,1,0,Jackets
4058,834,46,"Xl fits great, color description is a bit off",5,1,2,Tops
4059,823,53,Huge!!!,3,0,1,Tops
4060,826,35,So in-love!,5,1,0,Tops
4061,826,41,Absolutely beautiful,5,1,0,Tops
4062,834,40,"Flirty, frilly and fun.",5,1,2,Tops
4063,834,52,Boxy - odd fit. bodice not as fitted as shown,3,0,2,Tops
4064,363,20,Immediate favorite/ instant staple,5,1,0,Intimate
4065,834,36,Pretty design but poor quality,2,0,0,Tops
4066,823,26,Nice but complicated,3,0,0,Tops
4067,823,48,Huge,3,0,1,Tops
4068,463,32,Perfect,5,1,0,Intimate
4069,463,83,Beautiful basic for summer,5,1,3,Intimate
4070,823,60,Love the design,4,1,0,Tops
4071,984,53,Thumbs way up!,5,1,0,Jackets
4072,823,35,Pretty top,3,1,0,Tops
4073,823,41,Gorgeous colors,4,1,0,Tops
4074,834,66,Loved the colors!,5,1,1,Tops
4075,1086,49,"Love the style, wish it came in petite",4,1,5,Dresses
4076,834,57,Nice flow top,5,1,0,Tops
4077,834,32,Light and comfy,5,1,0,Tops
4078,826,35,Too flowy,2,0,0,Tops
4079,363,54,So disappointed,1,0,2,Intimate
4080,1086,64,A pressing matter,4,1,1,Dresses
4081,898,46,Comfortable and casual,5,1,0,Tops
4082,363,29,Winter staple,5,1,1,Intimate
4083,1086,67,Very flattering!!,5,1,6,Dresses
4084,834,49,Nice top,5,1,4,Tops
4085,823,36,"Awesome, such a pretty top!",5,1,0,Tops
4086,826,50,Beautiful top!,5,1,7,Tops
4087,1099,32,Comfortable and warm,5,1,0,Dresses
4088,823,57,Beautiful tunic,4,1,2,Tops
4089,834,60,Great top-but quality an issue,2,0,0,Tops
4090,872,39,Nice detail,5,1,37,Tops
4091,823,39,Removing the liner,5,1,0,Tops
4092,1099,39,Soft,5,1,0,Dresses
4093,1022,32,Amazing fit!,5,1,1,Bottoms
4094,823,52,Light & airy,4,1,0,Tops
4095,834,58,Lovely,5,1,1,Tops
4096,834,36,Runs very large,4,1,2,Tops
4097,1036,54,Really streeeeetches out so size down,4,1,0,Bottoms
4098,823,35,Didnt love it,3,0,2,Tops
4099,823,35,Flowy blouse with a little sparkle,4,1,0,Tops
4100,912,35,Disappointed,2,0,1,Tops
4101,940,33,Everything i'd hoped.,5,1,7,Tops
4102,865,45,Finished touch in one piece,5,1,1,Tops
4103,1110,46,Mango beauty,5,1,0,Dresses
4104,927,42,Worth the regular price!,5,1,0,Tops
4105,927,68,"Cozy, great for autumn & mild winter, nice shape",4,1,2,Tops
4106,1110,59,Gorgeous color!,4,1,0,Dresses
4107,878,51,Great tee for summer days ahead,5,1,4,Tops
4108,927,20,Will get lots of use,4,1,3,Tops
4109,1110,49,Runs large,3,1,1,Dresses
4110,927,42,Pricey but nice,5,1,0,Tops
4111,927,54,Go-to sweater,5,1,1,Tops
4112,1081,72,A fun dress,5,1,2,Dresses
4113,1110,46,Nice summer dress,5,1,0,Dresses
4114,1110,58,Different fabrics make fit off,3,0,6,Dresses
4115,1111,31,"Pretty, but not for boobs.",3,1,0,Dresses
4116,1021,44,Gorgeous skirt,5,1,2,Bottoms
4117,1110,56,Beautiful!!,5,1,0,Dresses
4118,1110,27,This color is everything!,5,1,0,Dresses
4119,927,71,Such a cute and versatile piece,5,1,0,Tops
4120,1110,45,"Cute, but ""off"" fit",2,0,0,Dresses
4121,964,31,Nice material with some stretch,5,1,2,Jackets
4122,927,54,This sweater is beautiful,5,1,0,Tops
4123,1110,35,One big flaw,2,0,0,Dresses
4124,927,49,Great holiday sweater,5,1,0,Tops
4125,927,53,My favorite piece this season,5,1,1,Tops
4126,912,56,"Fit was small at waist, large up top! odd spots!",4,0,12,Tops
4127,878,46,Cozy,5,1,0,Tops
4128,964,28,Too large and too small at the same time,2,0,12,Jackets
4129,1110,48,Happy yellow!,5,1,0,Dresses
4130,927,52,In love with this sweater coat!,5,1,2,Tops
4131,1110,82,Great dress for spring,5,1,1,Dresses
4132,1110,53,I can't believe that this has so many good reviews,2,0,0,Dresses
4133,940,58,"Nice style, but not on me.",3,1,2,Tops
4134,1110,52,"Very pretty, lovely color, nice fabrics",4,1,0,Dresses
4135,1110,31,Sweetest summer dress!,5,1,1,Dresses
4136,927,40,Better in person than the photos,4,1,1,Tops
4137,927,59,Super cute sweater coat.,5,1,1,Tops
4138,940,35,Beautiful but fuzzy,4,0,13,Tops
4139,1110,35,"Beautiful golden yellow, size down",5,1,12,Dresses
4140,1021,19,Love,5,1,1,Bottoms
4141,1110,55,Special piece,5,1,19,Dresses
4142,1110,38,Elegant sundress,5,1,1,Dresses
4143,940,42,Confused by the gold,4,1,4,Tops
4144,862,35,Great pattern,4,1,0,Tops
4145,927,39,Don't detach the collar,5,1,0,Tops
4146,1110,39,Don't size down if you're busty,4,1,0,Dresses
4147,1081,46,Dress up or down,4,1,2,Dresses
4148,1110,46,Dress me up or dress me down !,5,1,0,Dresses
4149,927,53,So cute!!,5,1,1,Tops
4150,1110,24,Love this,5,1,0,Dresses
4151,1110,58,Runs big!,4,1,26,Dresses
4152,1070,38,Amazing pants/leggings,5,1,0,Bottoms
4153,945,69,Amazing sweater!,5,1,0,Tops
4154,945,69,Gorgeous! sooo soft!,5,1,2,Tops
4155,868,46,So soft!,5,1,12,Tops
4156,993,39,Pretty and comfortable,4,1,2,Bottoms
4157,868,37,Nice top but runs large,4,1,0,Tops
4158,1068,61,Not good for curvy girls,3,0,2,Bottoms
4159,1025,28,Great fit,5,1,1,Bottoms
4160,1068,47,Love these pants,5,1,0,Bottoms
4161,562,32,Very nice skirt but too small,4,1,1,Trend
4162,1025,38,Fantastic fit and fabric,5,1,5,Bottoms
4163,831,60,Classic flannel,5,1,1,Tops
4164,836,38,"Interesting blouse, some limitations",4,1,9,Tops
4165,868,72,"All-around quality, but big",4,1,4,Tops
4166,836,50,Pretty but sleeves make it seem large.,3,0,1,Tops
4167,562,25,Not as it seems,1,0,5,Trend
4168,875,42,Scratchy,1,0,0,Tops
4169,1095,45,Beautiful dress!,5,1,0,Dresses
4170,875,24,Perfect lightweight top,5,1,0,Tops
4171,875,36,Cute summer top,5,1,0,Tops
4172,1095,44,Beware of care instructions!,2,0,4,Dresses
4173,1095,53,Adorable,5,1,0,Dresses
4174,334,58,L space ruched maillot,3,1,0,Intimate
4175,1059,37,High quality,5,1,3,Bottoms
4176,875,31,Beautiful but boxy,2,0,0,Tops
4177,977,50,Nice jacket,4,1,0,Jackets
4178,977,26,Great casual jacket,5,1,0,Jackets
4179,829,31,Just didn't work for me,3,0,3,Tops
4180,875,32,"Gorgeous design, loose fit; mixed cotton textures",4,1,1,Tops
4181,1095,41,"Ice cream, you scream!",2,0,2,Dresses
4182,875,29,Itchy!,3,0,27,Tops
4183,826,39,Lovely fabric,5,1,2,Tops
4184,1095,29,Cute dress,5,1,14,Dresses
4185,829,39,So flattering,5,1,1,Tops
4186,1059,57,Super for summer,5,1,0,Bottoms
4187,875,38,Comfortable with a beautiful design!,5,1,1,Tops
4188,334,45,Love this suit!,5,1,3,Intimate
4189,1095,49,Just knew i would love this!,5,1,11,Dresses
4190,1095,50,"Short waisted, fits small",2,0,11,Dresses
4191,875,27,Pretty details,4,1,0,Tops
4192,829,27,Strange,2,0,1,Tops
4193,875,43,Beautiful but boxy,4,1,0,Tops
4194,875,31,Love the stitching,4,1,0,Tops
4195,1095,35,Worth the required piece of fashion tape!,5,1,0,Dresses
4196,875,39,Cute!,5,1,0,Tops
4197,875,38,Love the embellishment,4,1,0,Tops
4198,875,32,Fun and stylish,5,1,0,Tops
4199,1095,68,Popsicle print,4,1,1,Dresses
4200,1095,36,Could be great-on someone else!,3,1,2,Dresses
4201,875,56,Turquoise is lovely! size down for best fit!i,5,1,32,Tops
4202,1095,32,Adorable and excellent quality,4,1,0,Dresses
4203,875,37,Love,5,1,11,Tops
4204,1095,48,Lovely pattern,4,1,2,Dresses
4205,1095,65,Summery-est ever,5,1,2,Dresses
4206,977,31,"Modern,oversized men's wear meets utilitarian chic",4,1,21,Jackets
4207,875,32,Lovely,5,1,0,Tops
4208,1095,42,Gorgeous but weird fit,3,1,0,Dresses
4209,1095,37,Too small in the bust,4,1,0,Dresses
4210,829,57,Love,5,1,7,Tops
4211,875,20,"So nice, i'm getting another",4,1,0,Tops
4212,875,35,Cute blouse,5,1,0,Tops
4213,1095,27,You cannot wash,2,1,1,Dresses
4214,977,27,Wonderful autumn coat!,5,1,2,Jackets
4215,1059,56,Cute but stretched out in minutes,2,0,2,Bottoms
4216,1095,52,Runs small,3,1,0,Dresses
4217,868,41,Great tee!,5,1,0,Tops
4218,875,39,Scratchy and prickly,2,0,1,Tops
4219,1059,34,Cute pant,5,1,0,Bottoms
4220,1095,51,Cute dress for everyday,5,1,1,Dresses
4221,1095,37,Precious design,3,1,0,Dresses
4222,875,41,Embroidered sienna top,5,1,0,Tops
4223,1095,39,Perfect ice pop for summer,5,1,9,Dresses
4224,826,46,So beautiful,5,1,6,Tops
4225,875,36,Love this top!,4,1,0,Tops
4226,828,44,Great date top,4,1,0,Tops
4227,1095,44,Not so vanilla!,5,1,3,Dresses
4228,1095,38,Adorable but runs small in the bust :(,4,1,45,Dresses
4229,1059,42,Unfortunately unflattering,3,0,3,Bottoms
4230,1095,38,Classic,5,1,1,Dresses
4231,1035,34,These stretch out horribly,2,0,3,Bottoms
4232,1078,40,"Not exactly as expected, but lovely nonetheless",4,1,7,Dresses
4233,863,34,Too thin,3,0,6,Tops
4234,1078,45,Love this dress!,5,1,1,Dresses
4235,824,37,Prettier in black but would pass on ivory,3,0,1,Tops
4236,1078,51,Small,1,0,0,Dresses
4237,863,54,Super cute fall top with skinny jeans,5,1,0,Tops
4238,824,41,Another beauty from maeve!,5,1,3,Tops
4239,1133,51,"Very pretty, quite small",4,1,6,Jackets
4240,1078,54,Love this dress!!,5,1,1,Dresses
4241,863,70,Perfect little white tee,4,1,3,Tops
4242,1078,43,What a shame,1,0,1,Dresses
4243,863,51,Tee with a punch,5,1,2,Tops
4244,824,38,Adore this top!,5,1,2,Tops
4245,873,37,Sheer,3,0,0,Tops
4246,1035,37,Pilcro has gone so down in quality,2,0,7,Bottoms
4247,678,49,Easy & comfortable...perfect for the heat,5,1,0,Intimate
4248,823,52,Sleeves not like those on the model,1,0,0,Tops
4249,863,51,Fresh take on a classic t,5,1,1,Tops
4250,978,49,Double duty: functional & fashionable,5,1,1,Jackets
4251,863,65,"Adorable, lightweight and comfy",5,1,1,Tops
4252,873,27,Could have been great,3,0,0,Tops
4253,863,52,Save your money,1,0,1,Tops
4254,863,40,Unique cool top!,5,1,0,Tops
4255,678,38,Gorgeous... try it,5,1,14,Intimate
4256,1072,41,"Description way off, but beautiful dress",5,1,1,Dresses
4257,863,46,Love this shirt!,5,1,2,Tops
4258,863,29,Love this style,5,1,2,Tops
4259,823,66,Nope,1,0,0,Tops
4260,863,66,Nice top??,4,1,17,Tops
4261,873,51,Summery versatility,4,1,15,Tops
4262,1078,28,"Nice print, not flattering for me",3,0,1,Dresses
4263,1078,40,"Pretty dress, love it!",5,1,1,Dresses
4264,1078,46,Bummed,4,1,18,Dresses
4265,873,31,See through,2,0,0,Tops
4266,1133,46,Super cute,4,1,0,Jackets
4267,824,30,Beautiful top!,5,1,3,Tops
4268,873,63,Great white top.,5,1,2,Tops
4269,1072,31,Anther at it's finest,5,1,4,Dresses
4270,844,45,Strange cut,2,0,0,Tops
4271,678,41,Beautiful pants!,5,1,0,Intimate
4272,678,27,"Beautiful colors, runs large",4,1,0,Intimate
4273,863,50,A bit thin but otherwise perfect,4,1,1,Tops
4274,823,36,Ready for clown college!,1,0,0,Tops
4275,1078,35,"Love,love",5,1,0,Dresses
4276,1078,37,Bummed,3,0,6,Dresses
4277,1035,50,The jeans are a great find.,5,1,0,Bottoms
4278,678,60,Beautiful beach pants,5,1,0,Intimate
4279,863,41,Cute tee,5,1,1,Tops
